date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en
1/1/2022,499.6936996,363.7211178,196.9624947,396.8407477,0,457.7902327,delgado-jalandoni-bagumbayan
1/1/2022,190.5389452,294.0506745,0,755.2952384,524.0076586,348.0989287,laguda
1/1/2022,249.8244549,554.3234824,212.8214478,600.8019163,79.37366788,1151.978301,progreso-lapuz
1/1/2022,554.8972368,553.3267518,238.7901259,1168.852374,0,1370.429642,libertad-lapuz
1/1/2022,11.83687186,332.4723928,0,396.7901675,309.5026931,988.5010362,edganzon
1/1/2022,1913.643415,4253.733371,0,718.8051076,0,5095.125538,tagbac
1/1/2022,790.1732422,117.2621569,0,0,1256.019169,647.9328501,tabucan
1/1/2022,626.0201765,957.1206438,234.0558038,469.3417567,128.7195326,1278.870348,rizal ibarra
1/1/2022,233.365071,826.2765079,187.9578562,1230.890529,1174.504198,424.7549691,east baluarte
1/1/2022,524.1281337,529.5644904,0,329.5769598,421.3239723,265.1577736,san rafael
1/1/2022,787.7554713,424.273085,0,861.0419191,529.7509366,899.2861729,san antonio
1/1/2022,5520.084846,1230.878305,455.193299,4581.195377,543.4522027,5562.226398,mohon
1/1/2022,1041.268608,1027.610595,294.2098471,897.2856333,451.4275217,1944.744882,monica blumentritt
1/1/2022,195.1750031,991.4153581,0,0,264.8073447,1457.625619,cuartero
1/1/2022,2675.599162,2429.303384,245.104988,2058.115951,1884.650383,5152.10475,hibao-an norte
1/1/2022,0,0,0,675.6936635,965.173847,0,bantud
1/1/2022,468.2477022,913.7708588,421.040437,1054.274024,766.8425234,452.7903981,north baluarte
1/1/2022,791.1894825,806.4172947,110.8984232,875.5360414,383.589702,610.6349346,rizal estanzuela
1/1/2022,706.3656049,957.0760172,439.1497031,747.2267545,374.083209,971.1558173,rizal palapala ii
1/1/2022,718.7848229,1087.239888,311.1554497,1491.05287,1138.753127,887.4526154,molo boulevard
1/1/2022,3556.483623,0,0,2919.760463,0,3649.533467,quezon
1/1/2022,163.8174744,829.8817377,194.462327,997.0699525,852.1387745,277.6230241,cochero
1/1/2022,645.1949505,753.6016621,110.0565355,2051.365604,1426.852516,605.9485792,caingin
1/1/2022,564.2509633,431.3190282,0,494.6415927,46.57684873,448.9756265,jalandoni-wilson
1/1/2022,1020.565582,1698.638753,44.47583179,694.3909313,386.5465081,1333.456086,el 98 castilla (claudio lopez)
1/1/2022,799.556606,1568.820617,0,466.7559131,166.1526963,1460.343019,taytay zone ii
1/1/2022,3532.452741,448.1279164,0,3148.252555,414.8410364,3655.479726,santo niño norte
1/1/2022,1036.838941,477.8719509,33.70269295,8.511201743,302.724926,2625.354587,pale benedicto rizal (mandurriao)
1/1/2022,1207.871715,1257.837929,155.2802467,791.4707677,633.5859715,2112.069996,concepcion-montes
1/1/2022,790.8915239,1147.034361,4.161937063,0,297.7472095,1729.758556,ortiz
1/1/2022,286.0332026,97.37016218,0,278.4811318,427.4276544,0,san felix
1/1/2022,509.3245649,822.125489,442.0099973,674.7318449,223.0531215,1064.066943,osmeña
1/1/2022,107.3076336,508.0944269,172.6574283,1728.363021,1464.049495,192.1256244,jereos
1/1/2022,0,0,0,1242.312998,889.997374,3.639567062,burgos-mabini-plaza
1/1/2022,1078.75628,924.2856371,0,1961.539241,1515.966264,1005.571641,ticud (la paz)
1/1/2022,248.2483335,86.09767983,0,78.21633052,611.48469,97.53964538,nabitasan
1/1/2022,653.349961,720.7755977,47.72033947,737.0697893,205.8940878,520.706453,kahirupan
1/1/2022,365.3753263,63.16179658,6.231637485,356.6918728,1319.228777,247.2558087,san pedro (molo)
1/1/2022,4088.783383,12.63346547,54.77499168,3268.111026,0,4150.446755,santa filomena
1/1/2022,545.5867446,294.7002162,48.78439762,1561.695086,1056.269375,299.2554343,lopez jaena norte
1/1/2022,648.5196752,226.9074319,0,1304.634644,0,3398.521972,sambag
1/1/2022,3597.234672,117.1942209,0,3069.302237,145.2475238,3705.350135,yulo drive
1/1/2022,546.7736224,822.2140555,241.2820503,847.0294892,319.6862597,770.4641664,flores
1/1/2022,702.1678449,1337.760308,170.7965354,369.4409744,0,1391.931631,buhang taft north
1/1/2022,703.646493,774.2805165,92.34357849,872.1097137,407.4355724,457.6487402,bonifacio tanza
1/1/2022,436.9515921,776.2699259,0,1129.893318,1509.540778,525.8064689,tabuc suba (la paz)
1/1/2022,1000.418342,941.2657492,0,1752.08443,671.8588923,3064.587874,tacas
1/1/2022,425.6162839,195.1859591,176.5199685,294.4281901,322.5062659,64.98693714,mabolo-delgado
1/1/2022,939.5232871,3308.209896,0,501.9707401,449.6827484,4062.315759,balantang
1/1/2022,833.7421342,0,0,342.1292965,1232.974966,806.0447288,tap-oc
1/1/2022,240.4773342,929.6153462,40.72136055,1810.942786,1324.655141,221.7894968,san pedro (jaro)
1/1/2022,2051.394052,942.4734008,59.27148215,1566.525507,21.51435303,2186.418448,south fundidor
1/1/2022,4650.573312,346.5224264,33.63243044,3867.631344,405.2261458,4722.407633,bonifacio (arevalo)
1/1/2022,348.3856672,895.1504104,159.1606176,700.2902951,1111.197515,2000.616356,san roque
1/1/2022,344.1732613,500.5667089,159.135913,662.051354,446.073805,30.80753124,timawa tanza ii
1/1/2022,539.9213707,1248.289344,0,1005.80704,1491.450181,600.0335717,cubay
