adm4_pcode,NDVI Risk,Amenity Risk (Relative),RWI Risk,Coastal Distance Risk,Population Risk,Climate Vulnerability Index,Risk Label,Barangay Name
ph063022126,0.4051973051010534,1.0,0.796757126933707,1.0,0.4203464536255413,0.5951772850183759,High Risk,Rizal Palapala II
ph063022125,0.4051973051010534,0.96101814635021,0.8779601826958975,1.0,0.2427397505295774,0.5640400320335537,High Risk,Rizal Palapala I
ph063022172,0.202092092599158,0.6300644945803427,0.7501127591170684,0.9846699740883124,0.5077820385814378,0.5104608991979709,High Risk,South Baluarte
ph063022136,0.4051973051010534,0.933311242832104,0.7155540711715165,1.0,0.0697768619946504,0.4995451568942899,High Risk,Rima-Rizal
ph063022074,0.4051973051010534,0.6921105949948576,0.8422347442954847,0.9568902346818436,0.2040188308419932,0.4950000337989967,High Risk,Jalandoni-Wilson
ph063022110,0.202092092599158,0.1970353357383532,0.6094080222365665,1.0,0.9560352510209936,0.4931665006809932,High Risk,Molo Boulevard
ph063022032,0.0,0.2911572225278223,0.5248022429847082,1.0,1.0,0.4877409597839156,High Risk,Calumpang
ph063022200,0.4051973051010534,0.8110897124112492,0.8354076323170774,0.9670988013986556,0.0450922613557441,0.4864969049241046,High Risk,San Jose (City Proper)
ph063022094,0.3061141786130346,0.3230467843836934,0.5303931281485755,1.0,0.776167159508381,0.481106740643629,High Risk,Loboc-Lapuz
ph063022092,0.3061141786130346,0.6919976114622084,1.0,0.8237619029800592,0.0860695724895656,0.4785065145822855,High Risk,Libertad-Lapuz
ph063022034,0.2075122840788146,0.984306782783409,0.8509408709335369,0.4171965785938039,0.0026466081603596,0.4677552419101664,High Risk,El 98 Castilla (Claudio Lopez)
ph063022107,0.4051973051010534,0.7342710664239014,0.7556258683644969,1.0,0.0755910963737159,0.4669107380674095,High Risk,Maria Clara
ph063022010,0.2075122840788146,0.2773077958034858,0.4250026583180499,1.0,0.8659016681214268,0.4642558956843819,High Risk,Balabago
ph063022179,1.0,0.3597794957526632,0.4092318507326096,0.873356271916939,0.3826389610262513,0.4550722367777091,High Risk,Tagbac
ph063022175,0.2075122840788146,0.2489040261535571,0.5807926873824663,0.5490429978092404,0.81920392410195,0.4500562472006253,High Risk,Tabuc Suba (Jaro)
ph063022047,0.2075122840788146,0.2728821804896172,0.7389341586963879,0.8668618923674342,0.5544498617915166,0.4415132310307486,Medium Risk,Don Esteban-Lapuz
ph063022183,0.2075122840788146,0.4225365700827599,0.3226173245409603,0.9400953352755368,0.6881131948881091,0.4393909225907866,Medium Risk,Ticud (La Paz)
ph063022020,0.4051973051010534,0.4251079354350764,0.8541463292074666,0.8921076445285224,0.1963852416352004,0.4386203922748131,Medium Risk,Monica Blumentritt
